label,tweet,clean_text_dl,clean_text_classical
fear,tapi ngeri sih ya emang akun gede dengan followers ribuan tuh kalo ngetweet yg jelek atau salah dikit yg hujat langsung banyak AKU TAKUT KALIAN UNFOLLOW AKU AJA PLEASE,tapi ngeri sih ya memang akun gede dengan followers ribuan tuh kalo ngetweet yang jelek atau salah sedikit yang hujat langsung banyak aku takut kalian unfollow aku saja please,ngeri sih memang akun gede followers ribu tuh kalo ngetweet jelek salah sedikit hujat langsung banyak aku takut kalian unfollow aku please
sadness,Kapan bandara [USERNAME] 1 di Ambon ada perbaikan dan mungkin renofasi. Melihat ada banyak perkembangan bandara di daerah lain rasanya sudah amat ketinggalan sebagai bandara internasional . [URL],kapan bandara di ambon ada perbaikan dan mungkin renofasi melihat ada banyak perkembangan bandara di daerah lain rasanya sudah amat ketinggalan sebagai bandara internasional,kapan bandara ambon baik mungkin renofasi lihat banyak kembang bandara daerah rasa tinggal bandara internasional
love,pantesan ada notif di FB. hari ini 4 thn yg lalu video ini bikin gw makin yakin jatuh cinta pada pandangan pertama sama doi an awal adekgemas fever melanda,pantesan ada notif di fb hari ini tahun yang lalu video ini bikin gue makin yakin jatuh cinta pada pandangan pertama sama dia an awal adekgemas fever melanda,pantesan notif fb hari tahun lalu video bikin gue makin yakin jatuh cinta pandang pertama sama an awal adekgemas fever landa
happy,"Jadi sejauh ini, udah ada 6 barang yang ku beli hasil flash salenya bukalapak. OMG dari harga yang Ratusan Ribu yang bahkan aku sbg sahabat misqin tak mampu beli, sekarang kebeli semua wkwkwkwk. Dan masih ada flash sale jam 6 sore, jam 8 malam dan jam 12 malam",jadi sejauh ini sudah ada barang yang ku beli hasil flash salenya bukalapak omg dari harga yang ratusan ribu yang bahkan aku sebagai sahabat misqin tak mampu beli sekarang kebeli semua haha dan masih ada flash sale jam sore jam malam dan jam malam,jadi jauh barang ku beli hasil flash sale bukalapak omg harga ratus ribu bahkan aku sahabat misqin tak mampu beli sekarang kebel semua haha flash sale jam sore jam malam jam malam
love,"Semoga sehat selalu, dan yg terpenting selalu sayang dan cinta ama [USERNAME], walaupun gw itu followers baru tp kita bisa saling kenal krn kita keluarga we are family I love you",semoga sehat selalu dan yang terpenting selalu sayang dan cinta sama walaupun gue itu followers baru tapi kita bisa saling kenal karena kita keluarga we are family i cinta you,moga sehat selalu penting selalu sayang cinta sama walaupun gue followers baru saling kenal keluarga we are family cinta
anger,si gendut kalau saya yang suruh ogah jalan! dasar kebo!,sih gendut kalau saya yang suruh ogah jalan dasar kebo,sih gendut kalau suruh ogah jalan dasar kebo
fear,"gue yg dulu bingung knp org bisa trauma berkepanjangan skrg baru sadar setelah ngerasain sendiri, kita ga speak up kdg krn takut dibilang lebay lah boong lah bla bla. ngatasin traumanya aja udh susah tmbh lg di judge org lain jd mending diem.",gue yang dulu bingung kenapa orang bisa trauma berkepanjangan sekarang baru sadar setelah merasai sendiri kita enggak speak up kadang karena takut dibilang lebay lah bohong lah bla bla ngatasin traumanya saja sudah susah tambah lagi di judge orang lain jadi mending diam,gue dulu bingung orang trauma panjang sekarang baru sadar rasai sendiri enggak speak kadang takut bilang lebay lah bohong lah bla bla ngatasin trauma susah tambah judge orang jadi mending diam
anger,[USERNAME] [USERNAME] gk perlu mnta maap juga kalik.. beda perspektif mah wajar.. yg lebay mah ngapus twit neg bkn bela simic jg tp slama vv gk lapor pulisi bhwa dia udh jadi korban pelecehan mah itu msh tetep urusan private mreka bdua di DM gmn awa,enggak perlu minta maaf juga kali beda perspektif mah wajar yang lebay mah menghapus twit neg bukan bela simic juga tapi selama vv enggak lapor pulisi bahwa dia sudah jadi korban pelecehan mah itu masih tetap urusan private mereka bdua di dm bagaimana awa,enggak perlu minta maaf kali beda perspektif mah wajar lebay mah hapus twit neg bukan bela simic lama vv enggak lapor pulisi jadi korban leceh mah tetap urus private bdua dm bagaimana awa
sadness,"[USERNAME] iPhone 7 plus, tiba tiba restart sendiri, trus kadang kadang bootloop ga masuk ke system , dimatikan agak lama, baru kadang bisa masuk system. kenapa bruh",iphone plus tiba tiba restart sendiri terus kadang kadang bootloop enggak masuk ke system dimatikan agak lama baru kadang bisa masuk system kenapa bruh,iphone plus tiba tiba restart sendiri terus kadang kadang bootloop enggak masuk system mati lama baru kadang masuk system bruh
sadness,"Wah gila sih, ini lokasinya mirip2 selly oal & dixy, persis pula di pengkolan jalan. Sayang dulu ga ada mas2 british kaya gini. Klo ada, mgkn w seringnya nongkrong di dixy bukan di perpus",wah gila sih ini lokasinya mirip selly oal dixy persis pula di pengkolan jalan sayang dulu enggak ada mas british kayak begini kalo ada mungkin gue seringnya nongkrong di dixy bukan di perpus,wah gila sih lokasi mirip selly oal dixy persis pengkol jalan sayang dulu enggak mas british kayak begini kalo mungkin gue sering nongkrong dixy bukan pus
anger,"Ngurusin neraka orang, sampai bikin hastag #CalonPenghuniNeraka, sedangkan sholatlu masih bolong bolong, Al Qur'an mu masih tersimpan rapi di almari, dan uangmu masih belum berkurang untuk sedekah, pikir dong!!!",mengurusi neraka orang sampai bikin hastag sedangkan sholatlu masih bolong bolong al quran mu masih tersimpan rapi di almari dan uangmu masih belum berkurang untuk sedekah pikir dong,urus neraka orang bikin hastag sholatlu bolong bolong al quran mu simpan rapi almari uang kurang sedekah pikir dong
happy,"Sama kayak bahagia. Mau gimanapun persepsi orang tentang bahagia, kalau bahagiamu memang beda dari persepsi orang2, itu tetap bahagia kamu. Orang lain gak ngerasain, tapi kamu yg ngerasain ttg bahagia kamu.",sama kayak bahagia mau gimanapun persepsi orang tentang bahagia kalau bahagiamu memang beda dari persepsi orang itu tetap bahagia kamu orang lain enggak merasai tapi kamu yang merasai tentang bahagia kamu,sama kayak bahagia mau gimanapun persepsi orang bahagia kalau bahagia memang beda persepsi orang tetap bahagia kamu orang enggak rasai kamu rasai bahagia kamu
anger,"DPRRI pemegang amanah rakyat tetapi selalu membalikan telapak tangan, Dewan yg membuat aturan dan Dewan pula yg melanggar aturan, segelintir Dewan mencoreng amanah rakyat dgn melakukan korupsi, jls bersalah dan selalu berkelit menutupi kesalahan dgn bersandiwara",dprri pemegang amanah rakyat tetapi selalu membalikan telapak tangan dewan yang membuat aturan dan dewan pula yang melanggar aturan segelintir dewan mencoreng amanah rakyat dengan melakukan korupsi jls bersalah dan selalu berkelit menutupi kesalahan dengan bersandiwara,dprri pegang amanah rakyat selalu balik telapak tangan dewan buat atur dewan langgar atur gelintir dewan coreng amanah rakyat laku korupsi jls salah selalu kelit tutup salah sandiwara
anger,Belajar jadi oposisi dimana partai ini... kok nyinyir dan provokatif sekali. Ini tanda juga tidak mampu jadi oposisi yg baik. [URL],belajar jadi oposisi dimana partai ini kok nyinyir dan provokatif sekali ini tanda juga tidak mampu jadi oposisi yang baik,ajar jadi oposisi partai kok nyinyir provokatif sekali tanda mampu jadi oposisi baik
sadness,"berita Via Vallen dapet DM dari pemain sepak bola yang terkesan ""menggoda"" atau sexual harassment, liat komennya pada bilang lebay dan gak harus di publish karena hal kek gitu ""biasa aja"" dan parahnya yang nyinyir perempuan juga :') miris",berita via vallen dapat dm dari pemain sepak bola yang terkesan menggoda atau sexual harassment lihat komennya pada bilang lebay dan enggak harus di publish karena hal kayak begitu biasa saja dan parahnya yang nyinyir perempuan juga miris,berita via vallen dm main sepak bola kes goda sexual harassment lihat komennya bilang lebay enggak publish kayak biasa parah nyinyir perempuan miris
sadness,"Abis jengukin temen yg sakit parah. Terus terenyuh sama kata2nya, ""saya ga takut sama penyakit saya, saya cuma takut ramadhan saya ga dapet berkah"" Ya Allah  Mohon doa, buat kesembuhan temen kantor saya, Tb adriana Pramudya bin tb dasep. [URL]",habis jengukin teman yang sakit parah terus terenyuh sama katanya saya enggak takut sama penyakit saya saya cuma takut ramadhan saya enggak dapat berkah ya allah mohon doa buat kesembuhan teman kantor saya tb adriana pramudya bin tb dasep,habis jengukin teman sakit parah terus terenyuh sama kata enggak takut sama sakit cuma takut ramadhan enggak berkah allah mohon doa buat sembuh teman kantor tb adriana pramudya bin tb dasep
sadness,"[USERNAME] Masalahnya banyak bgt sih yg gamau belajar dari sejarah. Padahal sejarah dunia ya gitu2 aja, muter2 disitu. Tapi gue lebih miris sama org yg masih menganggap Saudi dan US adalah dua kubu yg bersebrangan",masalahnya banyak banget sih yang enggak mau belajar dari sejarah padahal sejarah dunia ya begitu saja muter disitu tapi gue lebih miris sama orang yang masih menganggap saudi dan us adalah dua kubu yang bersebrangan,masalah banyak banget sih enggak mau ajar sejarah padahal sejarah dunia muter situ gue lebih miris sama orang anggap saudi us kubu bersebrangan
fear,Liat temen-temen udah pada kewong aja . Ngeri juga kalau w mikirin sampe kapan ya w kewong dengernya itu loh . Masalahnya w belum kepikiran masih takut,lihat tementemen sudah pada kewong saja ngeri juga kalau gue memikirkan sampai kapan ya gue kewong dengernya itu loh masalahnya gue belum kepikiran masih takut,lihat tementemen wong ngeri kalau gue pikir kapan gue wong dengernya loh masalah gue pikir takut
sadness,Ya nasib 3 thn eh 4 thn sudah nggak lebaran di rumah plus lebaran ini sepertinya begitu....padahal bayangannya tahun ini lebaran dirumah nyatanya lebaran dikantor (lagi #nasib #alhamdulillah,ya nasib tahun eh tahun sudah enggak lebaran di rumah plus lebaran ini sepertinya begitupadahal bayangannya tahun ini lebaran dirumah nyatanya lebaran dikantor lagi,nasib tahun eh tahun enggak lebaran rumah plus lebaran seperti begitupadahal bayang tahun lebaran rumah nyata lebaran kantor
happy,SUNDA KELAPA Alhamdulillah abis tarawih di Masjid Agung Sunda Kelapa. Nikmat sekali. 23 rekaat tapi nikmat karena bacaan imamnya mantap. Ini masjid persembahan Gubernur Ali Sadinin utk masyarakat Jakarta. Yuk coba tarawih di sini Pak Gub [USERNAME] dan Pak Wagub [USERNAME] [URL],sunda kelapa alhamdulillah habis tarawih di masjid agung sunda kelapa nikmat sekali rekaat tapi nikmat karena bacaan imamnya mantap ini masjid persembahan gubernur ali sadinin untuk masyarakat jakarta yuk coba tarawih di sini pak gub dan pak wagub,sunda kelapa alhamdulillah habis tarawih masjid agung sunda kelapa nikmat sekali rekaat nikmat baca imam mantap masjid sembah gubernur ali sadinin masyarakat jakarta yuk coba tarawih sini pak gub pak wagub
anger,"Efek pintu tol slipi arah semanggi ditutup, macet parah di sini. Pak polisi bukan ngatur malah jagain jalur busway [USERNAME] [USERNAME] [USERNAME] [URL]",efek pintu tol slipi arah semanggi ditutup macet parah di sini pak polisi bukan mengatur malah menjaga jalur busway,efek pintu tol slip arah semanggi tutup macet parah sini pak polisi bukan atur malah jaga jalur busway
anger,"[USERNAME] [USERNAME] Setuju bang yg beginian bikin hidupnya gk tenang aj ya,gk mikirin yg lain ky gmn nyari orderan pengen enak sendiri aj jadinya ,gw aj gedeg bener yg bikin opik begituan",setuju bang yang beginian bikin hidupnya enggak tenang saja yagk memikirkan yang lain kaya bagaimana mencari orderan pengin enak sendiri saja jadinya gue saja gedek benar yang bikin opik begituan,tuju bang begini bikin hidup enggak tenang yagk pikir kaya bagaimana cari order pengin enak sendiri jadi gue gedek benar bikin opik begitu
happy,Para raja dan sultan yang tergabung dalam Forum Silaturrahmi Kraton Nusantara merasa bangga dan terharu mendapat undangan dari Presiden [USERNAME] ke Istana. Menurut mereka Presiden benar2 memperhatikan budaya Nusantara [URL],para raja dan sultan yang tergabung dalam forum silaturrahmi kraton nusantara merasa bangga dan terharu mendapat undangan dari presiden ke istana menurut mereka presiden benar memperhatikan budaya nusantara,raja sultan gabung forum silaturrahmi kraton nusantara rasa bangga haru dapat undang presiden istana presiden benar perhati budaya nusantara
sadness,cewek-cewek lain kalo bikin instastory suaranya pada cakep bgttt alus gitu ye kan. kalah manisnya gula mah. lah w dengerin suara sendiri aja kek tikus kejepit:( annoying bgt suara qu wkwkwk,cewekcewek lain kalo bikin instastory suaranya pada cakep banget alus begitu ye kan kalah manisnya gula mah lah gue mendengarkan suara sendiri saja kayak tikus kejepit annoying banget suara ku haha,cewekcewek kalo bikin instastory suara cakep banget alus ye kan kalah manis gula mah lah gue dengar suara sendiri kayak tikus jepit annoying banget suara ku haha
fear,"[USERNAME] Yess aku terlalu pemilih dan kriteriaku suka ketinggian gitu, terlebih lagi aku bosenan, takut aja gitu pas udah nikah tau tau bosen :(",yess aku terlalu pemilih dan kriteriaku suka ketinggian begitu terlebih lagi aku bosenan takut saja begitu pas sudah nikah tau tau bosan,yess aku terlalu pilih kriteria suka tinggi lebih aku bosenan takut pas nikah tau tau bosan
happy,"Buat saya, apa yang dilakukan Via Valen simbol perlawanan yang perlu didukung, apapun profesinya wanita tetap harus dihormati dan dihargai [URL]",buat saya apa yang dilakukan via valen simbol perlawanan yang perlu didukung apapun profesinya wanita tetap harus dihormati dan dihargai,buat apa laku via valen simbol lawan perlu dukung apa profesi wanita tetap hormat harga
anger,"SEBAB MUNDUR ADALAH SEBUAH PENGHIANATAN, DIBELAKANG PAGAR TRIBUN KAMI TERUS BERSUARA UNTUK BANGKITKAN SEMANGAT PEMAIN DILAPANGAN! INI SUARA KAMI.",sebab mundur adalah sebuah penghianatan dibelakang pagar tribun kami terus bersuara untuk bangkitkan semangat pemain dilapangan ini suara kami,mundur buah penghianatan belakang pagar tribun terus suara bangkit semangat main lapang suara
sadness,"Sebagai manusia yang punya phobia tempat sempit dan sesak, liat penyelamatan anak anak yang terjebak di dalam gua di Thailand, cm bs berdoa, merinding, pengen nangis :"") bergidik liat medannya. #ThaiCaveRescue",sebagai manusia yang punya phobia tempat sempit dan sesak lihat penyelamatan anak anak yang terjebak di dalam gua di thailand cuma bisa berdoa merinding pengin menangis bergidik lihat medannya,manusia punya phobia tempat sempit sesak lihat selamat anak anak jebak gua thailand cuma doa merinding pengin menang gidik lihat medan
sadness,[USERNAME] @ bapak presiden yang terhormat.mohon bantuan jalan kami di kota pasuruandan kabupaten pasuruan rusak parah. Mohon bantuan bapak presiden untuk meninjau jalan kota pasuruan dan kabupaten pasuruan jawa timur. Rakyat tersiksa dengan jalan yang rusak,bapak presiden yang terhormatmohon bantuan jalan kami di kota pasuruandan kabupaten pasuruan rusak parah mohon bantuan bapak presiden untuk meninjau jalan kota pasuruan dan kabupaten pasuruan jawa timur rakyat tersiksa dengan jalan yang rusak,bapak presiden terhormatmohon bantu jalan kota pasuruandan kabupaten pasuruan rusak parah mohon bantu bapak presiden tinjau jalan kota pasuruan kabupaten pasuruan jawa timur rakyat siksa jalan rusak
love,"[Satu menit kemudian] Ternyata bukan dari satu menit yg lalu, tapi sejak dua hari yang lalu gw udah jatuh cinta sama lu... Salah sapa coba?",satu menit kemudian ternyata bukan dari satu menit yang lalu tapi sejak dua hari yang lalu gue sudah jatuh cinta sama lu salah sapa coba,satu menit kemudian nyata bukan satu menit lalu sejak hari lalu gue jatuh cinta sama lu salah sapa coba
fear,"Kemarin habis sulam alis 6D, dan hari ini terlihat masih ketebalan kaya sincan karna hasil lukanya mengering. Biasanya peel off setelah 7 hari ntar hasilnya kaya bulu alis alami. Semoga ye, gak sia-sia wa nahan sakit sama jauh-jauh ke kelapa gading... [URL]",kemarin habis sulam alis di dan hari ini terlihat masih ketebalan kayak sincan karena hasil lukanya mengering biasanya peel off setelah hari entar hasilnya kayak bulu alis alami semoga ye enggak siasia wa menahan sakit sama jauhjauh ke kelapa gading,kemarin habis sulam alis hari lihat tebal kayak sincan hasil luka ering biasa peel off hari entar hasil kayak bulu alis alami moga ye enggak siasia wa tahan sakit sama jauhjauh kelapa gading
sadness,Kppn punya akun fb? Ig? Twitter? Apa yg boleh dipost kppn dan apa yg enggak? Apa yg bisa diketahui umum apa yg enggak? Apa kami sempet update medsos kantor sdgkan medsos kami jg susah cari konten. (dyaar),kppn punya akun fb ig twitter apa yang boleh dipost kppn dan apa yang enggak apa yang bisa diketahui umum apa yang enggak apa kami sempat update medsos kantor sdgkan medsos kami juga susah cari konten dyaar,kppn punya akun fb ig twitter apa dipost kppn apa enggak apa tahu umum apa enggak apa sempat update medsos kantor sdgkan medsos susah cari konten dyaar
sadness,"Selamat jalan adik kami, Semua yang hidup pasti akan meninggal, dan kembali kepada Allah inna lillahi wa inna ilahirojiun",selamat jalan adik kami semua yang hidup pasti akan meninggal dan kembali kepada allah inna lillahi wa inna ilahirojiun,selamat jalan adik semua hidup tinggal allah inna lillahi wa inna ilahirojiun
anger,"anjiir via vallen digituin sm nih org dan dia casually cm blg ""are u angry"" hmm emang hal kaya gitu sebiasa itu sih buat orang luar terutama asal negara2 eropa",anjiir via vallen dibegitukan sama nih orang dan dia casually cuma bilang are lu angry hmm memang hal kayak begitu sebiasa itu sih buat orang luar terutama asal negara eropa,anjiir via vallen begitu sama nih orang casually cuma bilang are lu angry hmm memang kayak biasa sih buat orang luar utama asal negara eropa
sadness,"[USERNAME] intinya mah lakukan perubahan di dunia nyata aja apapun hasilnya, daripada cuma sampaikan opini di socmed yang seringnya malah nimbulin pro kontra tanpa merubah keadaan yg ada",intinya mah lakukan perubahan di dunia nyata saja apapun hasilnya daripada cuma sampaikan opini di socmed yang seringnya malah nimbulin pro kontra tanpa merubah keadaan yang ada,inti mah laku ubah dunia nyata apa hasil cuma sampai opini socmed sering malah nimbulin pro kontra rubah ada
anger,"Jahat banget mbaknya,semoga mbaknya nggak jadi korban sexual harrasment juga yaa mbak biar ngga ngerasain gmana rasanya di lecehkan. Wah kesel bacanya pengen bilang tolol ke si mbaknya :( [URL]",jahat banget mbaknyasemoga mbaknya enggak jadi korban sexual harrasment juga ya mbak biar enggak merasai bagaimana rasanya di lecehkan wah kesal bacanya pengin bilang tolol ke sih mbaknya,jahat banget mbaknyasemoga mbak enggak jadi korban sexual harrasment mbak biar enggak rasai bagaimana rasa leceh wah kesal baca pengin bilang tolol sih mbak
anger,#ILCBPIP satu lagi travel meler katanya anti asing tp sok2 bicara pake gaya asing....mulut bau....lalu Ko bikin apa Pak Kiyai???? [URL],satu lagi travel meler katanya anti asing tapi sok bicara pakai gaya asingmulut baulalu kok bikin apa pak kiyai,satu travel meler kata anti asing sok bicara pakai gaya asingmulut baulalu kok bikin apa pak kiyai
anger,"Menurut penelitian ku 'orang yg paling susah di nasehatin adalah org yg JATUH CINTA uda dibilangin masih ajaaaa ngomong dia ga gitu, ga gini' harus ekstra sabar.",menurut penelitian ku orang yang paling susah di menasihati adalah orang yang jatuh cinta sudah dibilangin masih ajaaaa mengomong dia enggak begitu enggak begini harus ekstra sabar,teliti ku orang paling susah nasihat orang jatuh cinta dibilangin ajaaaa omong enggak enggak begini ekstra sabar
fear,"terus tadi ada orang dari dinas ngambil sampel air katanya keluar hasilnya minggu depan,,, aku jadi agak takut kalo mengetahui fakta ada binatang apa yg hidup di air tersebut,,,",terus tadi ada orang dari dinas ngambil sampel air katanya keluar hasilnya minggu depan aku jadi agak takut kalo mengetahui fakta ada binatang apa yang hidup di air tersebut,terus tadi orang dinas ngambil sampel air kata keluar hasil minggu depan aku jadi takut kalo tahu fakta binatang apa hidup air sebut
anger,"Bisa gak sih situ sekali aja mikir sendiri kalo mau ngerjain tugas, gausah sok""nanya (liat dong punyamu buat acuan aja, aku mau ngerjain nih nanti tapi bingung), tolong ya karena situ udah keseringan kayak gitu, jadi ku pasti tau dari awal itu cuman alibi ",bisa enggak sih situ sekali saja mikir sendiri kalo mau ngerjain tugas enggak usah soknanya lihat dong punyamu buat acuan saja aku mau ngerjain nih nanti tapi bingung tolong ya karena situ sudah keseringan kayak begitu jadi ku pasti tau dari awal itu cuman alibi,enggak sih situ sekali mikir sendiri kalo mau ngerjain tugas enggak usah soknanya lihat dong punya buat acu aku mau ngerjain nih bingung situ sering kayak jadi ku tau awal cuman alibi
happy,Setelah #RecehkanTwitter muncul #OldMoneyGakNgerasain nah sekarang lagi rame #AksiBelaVia ku merasa sangat uptudate dan bersyukur. Anti uninstall twitter twitter club.,setelah muncul nah sekarang lagi rame ku merasa sangat uptudate dan bersyukur anti uninstall twitter twitter club,muncul nah sekarang rame ku rasa sangat uptudate syukur anti uninstall twitter twitter club
love,"Ketika ditanya alasan mengapa aku mencintai dia, aku tak pernah bisa menjawab. Aku digerakkan oleh cinta tuk mencintai dia, bukan aku yang menggerakkan cinta. Cintalah yang menyatukan aku dan dia, bukan aku yang menyatukan cinta dengan dirinya.",ketika ditanya alasan mengapa aku mencintai dia aku tak pernah bisa menjawab aku digerakkan oleh cinta untuk mencintai dia bukan aku yang menggerakkan cinta cintalah yang menyatukan aku dan dia bukan aku yang menyatukan cinta dengan dirinya,tanya alas aku cinta aku tak pernah jawab aku gerak cinta cinta bukan aku gerak cinta cinta satu aku bukan aku satu cinta diri
sadness,"Sebenernya sy miris jg, siapa org yg mengakulturasikan gaya dan faham casual di kalangan supporter Bandung, seiiringnya waktu berjalan, lalu timbul lah beberapa organisasi yg mengatasnamakan Casual.",sebenarnya saya miris juga siapa orang yang mengakulturasikan gaya dan faham casual di kalangan supporter bandung seiiringnya waktu berjalan lalu timbul lah beberapa organisasi yang mengatasnamakan casual,benar miris siapa orang akulturasi gaya faham casual kalang supporter bandung seiiringnya waktu jalan lalu timbul lah beberapa organisasi mengatasnamakan casual
